"Name","Runtime","num_layers","pattern_name","best_val_loss","final_val_loss","final_val_perplexity","grad_norm","memory_gb","num_params","train_loss","val_loss","val_perplexity"
"fibonacci_9L","981","9","MAMMAMMMA","3.4970704078674317","3.5042554313972123","33.25667275729004","0.7293955087661743","9.302289009094238","26217984","3.351052050590515","3.4970999002456664","33.019552970132665"
"unet_style_7L","863","7","AMMMMMA","3.5696639442443847","3.576169231702123","35.73638050652853","0.7427186369895935","9.284579277038574","24698880","3.434226636886597","3.5696639442443847","35.50465960136146"
"increasing_attention_7L","777","7","MMMMAAA","3.598806390762329","3.605145003480789","36.787017716137456","0.7405446171760559","9.280863761901855","24360960","3.4552131414413454","3.598861002922058","36.556572892285466"
"grouped_A4M4","795","8","AAAAMMMM","3.642607536315918","3.6500686292477096","38.47730662702835","0.730671226978302","9.288150787353516","24951552","3.487580270767212","3.6426604795455937","38.19331420738752"
"grouped_M4A4","794","8","MMMMAAAA","3.5707609844207764","3.576491727062028","35.747907181971456","0.7224792838096619","9.286792755126951","24951552","3.435524740219116","3.5708286428451537","35.54603591951254"
"thick_sandwich_8L","796","8","AAMMMMAA","3.542640085220337","3.5485895700767776","34.76425035390183","0.7117891311645508","9.286670684814451","24951552","3.4190540599822996","3.5426560735702513","34.55858754902863"
"sandwich_8L","966","8","AMMMMMMA","3.5396347665786743","3.5462385122598477","34.68261359533102","0.7218529582023621","9.29550552368164","25627392","3.392822675704956","3.5396451139450074","34.45468953207403"
"double_alternate_10L","827","10","AAMMAAMMAA","3.4827502870559695","3.4900368989672734","32.78715749616319","0.7088984251022339","9.301153182983398","26132736","3.3794473791122437","3.482834367752075","32.551855373500324"
"alternate_M_first_8L","797","8","MAMAMAMA","3.5100008058547973","3.5142235008978533","33.58983531782567","0.7383444309234619","9.287860870361328","24951552","3.4066009855270387","3.510038423538208","33.44955300943139"
"alternate_A_first_8L","810","8","AMAMAMAM","3.5046089363098143","3.5101348623312028","33.452778999502634","0.7232609987258911","9.287952423095703","24951552","3.410220994949341","3.504646544456482","33.26968242027197"
"baseline_mamba_8L","1161","8","MMMMMMMM","3.7529692363739016","3.763360829734782","43.093011152837754","0.7006976008415222","9.303180694580078","26303232","3.5674810457229613","3.7529692363739016","42.647524769733366"
"baseline_attention_8L","570","8","AAAAAAAA","3.972165689468384","3.9761147943348982","53.30951293542225","0.715575635433197","9.269672393798828","23599872","3.975820822715759","3.972165689468384","53.09940322416157"
